Directory,Protein Name,Gene Name
C:\Users\Kim\Desktop\Aminergic_0602,5-hydroxytryptamine receptor 1A,HTR1A
C:\Users\Kim\Desktop\Aminergic_0602,5-hydroxytryptamine receptor 1B,HTR1B
